日付,レース場コード,レース場名,レース番号,選手枠番,選手ナンバー,レーサーID,レーサー名,年齢,体重,展示タイム,スタートタイミング,レースタイム,最終着順
2024-01-01,24,大村,1,4,5,5098,大　江　　　　純,30,39,6.7,0.18,1.18.0,3
2024-01-01,24,大村,1,5,6,3812,山　崎　　聖　司,21,16,6.76,0.2,,4
2024-01-01,24,大村,1,6,3,4731,間　野　　兼　礼,57,29,6.69,0.13,,4
2024-01-01,24,大村,2,1,5,4754,松　尾　　　　充,20,13,6.88,0.09,1.14.5,4
2024-01-01,24,大村,2,2,4,4988,牟　田　　奨　太,64,49,6.82,0.08,1.16.3,4
2024-01-01,24,大村,2,3,6,5275,松　田　　淳　平,67,43,6.82,0.08,1.16.8,4
2024-01-01,24,大村,2,4,2,3392,小　森　　信　雄,66,59,6.75,0.2,1.17.0,3
2024-01-01,24,大村,2,5,1,4181,花　本　　夏　樹,24,36,6.77,0.11,,2
2024-01-01,24,大村,2,6,3,4358,松　本　　庸　平,26,17,6.68,0.18,,1
2024-01-01,24,大村,3,1,1,4470,平　田　　健之佑,45,40,6.74,0.15,1.14.7,2
2024-01-01,24,大村,3,2,4,4466,南　　　　佑　典,15,48,6.85,0.15,1.15.6,4
2024-01-01,24,大村,3,3,2,3934,鋤　柄　　貴　俊,55,37,6.79,0.18,1.16.6,1
2024-01-01,24,大村,3,4,6,4049,荒　川　　健　太,40,50,6.78,0.28,1.16.7,3
2024-01-01,24,大村,3,5,3,3984,坂　口　　　　周,13,45,6.85,0.16,,4
2024-01-01,24,大村,3,6,5,5020,宮　村　　勇　哉,58,34,6.86,0.18,,4
2024-01-01,24,大村,4,1,1,5183,中　野　　孝　二,22,33,6.7,0.13,1.15.3,4
2024-01-01,24,大村,4,2,2,5120,山　本　　稔太朗,27,24,6.76,0.08,1.16.4,4
2024-01-01,24,大村,4,3,4,4568,廣　瀬　　真　也,73,19,6.66,0.16,1.16.9,2
2024-01-01,24,大村,4,4,6,4797,中　山　　　　将,59,44,6.72,0.17,1.17.2,4
2024-01-01,24,大村,4,5,3,3931,黒　崎　　竜　也,39,27,6.66,0.11,,3
2024-01-01,24,大村,4,6,5,3842,星　野　　太　郎,51,20,6.85,0.22,,1
2024-01-01,24,大村,5,1,6,4293,鈴　木　　智　啓,56,75,6.77,0.14,1.14.2,4
2024-01-01,24,大村,5,2,1,4926,吉　川　　貴　仁,43,46,6.85,0.19,1.15.0,1
2024-01-01,24,大村,5,3,4,4618,乃　村　　康　友,36,25,6.79,0.19,1.16.2,3
2024-01-01,24,大村,5,4,2,3605,中　村　　守　成,71,26,6.85,0.23,1.16.6,4
2024-01-01,24,大村,5,5,5,3226,浦　田　　信　義,63,23,6.88,0.27,,4
2024-01-01,24,大村,5,6,3,5128,坪　井　　爽　佑,16,51,6.88,0.34,,2
2024-01-01,24,大村,6,1,4,4358,松　本　　庸　平,26,17,6.76,0.21,1.15.1,4
2024-01-01,24,大村,6,2,2,4579,中　嶋　　健一郎,52,41,6.74,0.15,1.16.3,3
2024-01-01,24,大村,6,3,5,4104,木　下　　陽　介,23,11,6.86,0.09,1.17.4,4
2024-01-01,24,大村,6,4,6,5010,宇留田　　翔　平,62,12,6.85,0.1,1.17.9,1
2024-01-01,24,大村,6,5,3,3340,池　田　　雷　太,18,35,6.7,0.32,,4
2024-01-01,24,大村,6,6,1,5130,上　野　　拓　馬,54,47,6.66,0.24,,2
2024-01-01,24,大村,7,1,1,3922,菅　沼　　佳　昭,47,18,6.69,0.13,1.14.8,1
2024-01-01,24,大村,7,2,5,4156,浜　野　　孝　志,72,14,6.71,0.14,1.15.8,3
2024-01-01,24,大村,7,3,6,3984,坂　口　　　　周,13,45,6.75,0.18,1.16.3,4
2024-01-01,24,大村,7,4,4,4016,西　川　　新太郎,65,65,6.87,0.15,1.17.8,2
2024-01-01,24,大村,7,5,3,4796,春　園　　功　太,38,15,6.73,0.27,,4
2024-01-01,24,大村,7,6,2,4988,牟　田　　奨　太,64,49,6.83,0.12,,4
2024-01-01,24,大村,8,1,2,4979,中　野　　夢　斗,46,28,6.79,0.37,1.20.9,4
2024-01-01,24,大村,8,2,6,3842,星　野　　太　郎,51,20,6.91,0.33,1.22.9,4
2024-01-01,24,大村,8,3,4,4181,花　本　　夏　樹,24,36,6.84,0.32,1.25.2,4
2024-01-01,24,大村,8,4,5,4466,南　　　　佑　典,15,48,6.83,0.29,1.27.1,3
2024-01-01,24,大村,8,5,3,4024,井　口　　佳　典,44,30,6.67,0.28,,2
2024-01-01,24,大村,9,1,1,4754,松　尾　　　　充,20,13,6.87,0.19,1.14.7,4
2024-01-01,24,大村,9,2,5,4049,荒　川　　健　太,40,50,6.77,0.36,1.15.8,3
2024-01-01,24,大村,9,3,3,3226,浦　田　　信　義,63,23,6.74,0.21,1.16.6,1
2024-01-01,24,大村,9,4,4,4856,豊　田　　健士郎,50,74,6.73,0.33,1.17.6,2
2024-01-01,24,大村,9,5,6,4431,石　塚　　裕　介,48,38,6.7,0.34,,4
2024-01-01,24,大村,9,6,2,3981,今　坂　　晃　広,35,32,6.78,0.2,,4
2024-01-01,24,大村,10,1,4,3931,黒　崎　　竜　也,39,27,6.69,0.09,1.14.2,3
2024-01-01,24,大村,10,2,5,4926,吉　川　　貴　仁,43,46,6.73,0.09,1.15.7,4
2024-01-01,24,大村,10,3,1,3852,澤　　　　大　介,49,31,6.8,0.17,1.16.6,1
2024-01-01,24,大村,10,4,2,4470,平　田　　健之佑,45,40,6.82,0.17,1.16.8,2
2024-01-01,24,大村,10,5,6,4104,木　下　　陽　介,23,11,6.76,0.14,,4
2024-01-01,24,大村,10,6,3,5010,宇留田　　翔　平,62,12,6.69,0.1,,4
2024-01-01,24,大村,11,1,1,4797,中　山　　　　将,59,44,6.77,0.17,1.14.8,1
2024-01-01,24,大村,11,2,2,4156,浜　野　　孝　志,72,14,6.81,0.23,1.16.2,4
2024-01-01,24,大村,11,3,4,3340,池　田　　雷　太,18,35,6.76,0.31,1.17.1,4
2024-01-01,24,大村,11,4,6,3605,中　村　　守　成,71,26,6.83,0.28,1.17.8,2
2024-01-01,24,大村,11,5,5,4376,藤　田　　靖　弘,29,73,6.82,0.28,,4
2024-01-01,24,大村,11,6,3,5020,宮　村　　勇　哉,58,34,6.8,0.41,,3
2024-01-01,24,大村,12,1,1,4024,井　口　　佳　典,44,30,6.67,0.04,1.13.4,1
2024-01-01,24,大村,12,2,3,4579,中　嶋　　健一郎,52,41,6.68,0.07,1.14.7,4
2024-01-01,24,大村,12,3,4,4796,春　園　　功　太,38,60,6.72,0.13,1.15.3,4
2024-01-01,24,大村,12,4,2,4688,永　井　　彪　也,17,21,6.83,0.04,1.16.2,2
2024-01-01,24,大村,12,5,6,4731,間　野　　兼　礼,57,29,6.73,0.08,,3
2024-01-01,24,大村,12,6,5,5128,坪　井　　爽　佑,16,51,6.83,0.13,,4
2024-01-01,24,大村,1,2,1,4565,西　村　　豪　洋,48,26,6.74,0.11,1.51.3,2
2024-01-01,24,大村,1,3,3,4706,三　浦　　洋次朗,45,48,6.76,0.18,1.52.3,4
2024-01-01,24,大村,1,4,4,3895,堀　本　　裕　也,41,51,6.8,0.16,1.55.6,1
2024-01-01,24,大村,1,5,2,4062,後　藤　　陽　介,25,70,6.8,0.16,,4
2024-01-01,24,大村,1,6,5,5321,一　色　　颯　輝,20,22,6.88,0.28,,3
2024-01-01,24,大村,2,1,1,3967,鈴　木　　茂　高,31,72,6.88,0.14,1.50.7,2
2024-01-01,24,大村,2,2,3,4409,坂　元　　浩　仁,37,68,6.87,0.17,1.51.5,1
2024-01-01,24,大村,2,3,2,4483,北　野　　輝　季,32,75,6.77,0.14,1.53.4,3
2024-01-01,24,大村,2,4,5,4630,岩　永　　雅　人,47,50,6.79,0.12,1.54.3,4
2024-01-01,24,大村,2,6,6,5318,河　内　　一　馬,50,49,6.74,0.08,,4
2024-01-01,24,大村,3,1,2,5089,前　田　　　　翔,22,52,6.71,0.09,1.49.5,1
2024-01-01,24,大村,3,2,5,4453,永　田　　郁　弥,35,32,6.87,0.1,1.52.7,4
2024-01-01,24,大村,3,3,3,3467,森　　　　弘　行,58,69,6.89,0.13,1.54.2,4
2024-01-01,24,大村,3,4,6,3713,伊　藤　　誠　二,59,63,6.9,0.08,1.54.7,3
2024-01-01,24,大村,3,5,1,4785,木　幡　　純　也,21,27,6.82,0.13,,2
2024-01-01,24,大村,3,6,4,5074,大　澤　　誠　也,12,18,6.83,0.17,,4
2024-01-01,24,大村,4,1,1,4650,中　山　　雄　太,19,34,6.9,0.07,1.50.8,4
2024-01-01,24,大村,4,2,2,4903,吉　田　　凌太朗,56,24,6.76,0.12,1.51.9,4
2024-01-01,24,大村,4,3,5,4074,柳　沢　　　　一,38,40,6.77,0.11,1.52.8,1
2024-01-01,24,大村,4,4,3,4676,後　藤　　隼　之,14,11,6.88,0.12,1.53.2,3
2024-01-01,24,大村,4,5,4,4863,三　浦　　裕　貴,11,16,6.9,0.17,,2
2024-01-01,24,大村,4,6,6,5319,近　藤　　颯　斗,52,12,6.79,0.21,,4
2024-01-01,24,大村,5,3,1,3554,仲　口　　博　崇,13,37,6.8,0.19,1.53.9,1
2024-01-01,24,大村,5,4,2,3637,齋　藤　　和　政,30,39,6.79,0.2,1.54.7,4
2024-01-01,24,大村,5,5,3,3519,冨　田　　秀　幸,60,14,6.75,0.24,,2
2024-01-01,24,大村,5,6,6,5321,一　色　　颯　輝,20,22,6.89,0.17,,4
2024-01-01,24,大村,6,1,2,3941,池　田　　浩　二,16,46,6.74,0.07,1.50.6,3
2024-01-01,24,大村,6,2,5,4228,吉　田　　慎二郎,54,54,6.69,0.15,1.52.5,4
2024-01-01,24,大村,6,3,6,4752,西　尾　　亮　輔,40,74,6.71,0.14,1.54.2,1
2024-01-01,24,大村,6,4,4,4062,後　藤　　陽　介,25,70,6.8,0.17,1.55.1,4
2024-01-01,24,大村,6,5,3,3967,鈴　木　　茂　高,31,72,6.8,0.1,,4
2024-01-01,24,大村,6,6,1,5178,成　貞　　琳　平,39,21,6.81,0.06,,2
2024-01-01,24,大村,7,2,3,4483,北　野　　輝　季,32,75,6.74,0.19,1.51.2,4
2024-01-01,24,大村,7,4,4,4516,野　口　　勝　弘,28,44,6.74,0.19,1.54.3,2
2024-01-01,24,大村,7,5,2,5197,中　野　　仁　照,46,73,6.74,0.22,,4
2024-01-01,24,大村,7,6,6,5190,大　月　　遊　雅,18,35,6.73,0.16,,4
2024-01-01,24,大村,8,1,5,4586,磯　部　　　　誠,44,30,6.67,0.13,1.49.8,3
2024-01-01,24,大村,8,2,3,4630,岩　永　　雅　人,47,50,6.65,0.18,1.51.4,2
2024-01-01,24,大村,8,3,1,3895,堀　本　　裕　也,41,51,6.76,0.22,1.53.7,1
2024-01-01,24,大村,8,4,6,5125,高　井　　雄　基,49,19,6.75,0.2,1.55.0,4
2024-01-01,24,大村,8,5,4,4650,中　山　　雄　太,19,34,6.8,0.19,,4
2024-01-01,24,大村,8,6,2,4453,永　田　　郁　弥,35,32,6.72,0.19,,4
2024-01-01,24,大村,9,1,1,4706,三　浦　　洋次朗,45,48,6.8,0.17,1.50.1,4
2024-01-01,24,大村,9,2,5,3554,仲　口　　博　崇,13,37,6.74,0.25,1.50.7,3
2024-01-01,24,大村,9,3,3,4903,吉　田　　凌太朗,56,24,6.73,0.24,1.52.8,1
2024-01-01,24,大村,9,4,4,5245,倉　富　　大　誠,57,45,6.81,0.15,1.54.8,2
2024-01-01,24,大村,9,5,2,3776,横　井　　健　太,36,47,6.74,0.24,,4
2024-01-01,24,大村,9,6,6,4676,後　藤　　隼　之,14,11,6.78,0.22,,4
2024-01-01,24,大村,10,1,1,4074,柳　沢　　　　一,38,40,6.73,0.12,1.49.8,1
2024-01-01,24,大村,10,2,4,3713,伊　藤　　誠　二,59,63,6.79,0.09,1.51.8,3
2024-01-01,24,大村,10,3,6,3519,冨　田　　秀　幸,60,14,6.79,0.18,1.52.8,4
2024-01-01,24,大村,10,4,3,4228,吉　田　　慎二郎,54,54,6.66,0.17,1.53.9,4
2024-01-01,24,大村,10,5,5,4565,西　村　　豪　洋,48,26,6.71,0.16,,4
2024-01-01,24,大村,11,4,6,5074,大　澤　　誠　也,12,18,6.75,0.21,1.54.2,2
2024-01-01,24,大村,11,5,3,4785,木　幡　　純　也,21,27,6.76,0.18,,3
2024-01-01,24,大村,11,6,5,4863,三　浦　　裕　貴,11,16,6.78,0.21,,4
2024-01-01,24,大村,12,1,1,4586,磯　部　　　　誠,44,30,6.63,0.15,1.49.3,1
2024-01-01,24,大村,12,2,4,3941,池　田　　浩　二,16,46,6.7,0.14,1.50.6,4
2024-01-01,24,大村,12,3,5,4409,坂　元　　浩　仁,37,68,6.7,0.15,1.51.3,4
2024-01-01,24,大村,12,4,6,5089,前　田　　　　翔,22,52,6.72,0.16,1.53.9,3
2024-01-01,24,大村,12,6,3,4516,野　口　　勝　弘,28,44,6.7,0.21,,4
2024-01-01,24,大村,1,1,3,4435,服　部　　達　哉,40,47,6.69,0.08,1.49.8,4
2024-01-01,24,大村,1,2,6,5166,仲　道　　大　輔,68,54,6.58,0.5,1.51.4,4
2024-01-01,24,大村,1,3,5,5127,沼　田　　大　都,57,77,6.66,0.27,1.52.1,3
2024-01-01,24,大村,1,4,4,4129,宇　野　　博　之,46,25,6.74,0.13,1.52.2,1
2024-01-01,24,大村,1,5,2,5232,樅　山　　拓　馬,61,55,6.76,0.05,,4
2024-01-01,24,大村,2,1,1,3687,花　田　　和　明,26,45,6.62,0.07,1.49.6,2
2024-01-01,24,大村,2,2,5,4570,前　田　　聖　文,35,18,6.73,0.09,1.50.4,4
2024-01-01,24,大村,2,3,6,4850,野　中　　一　平,53,11,6.64,0.06,1.51.7,4
2024-01-01,24,大村,2,4,2,4369,丹　下　　　　将,21,19,6.72,0.12,1.52.8,3
2024-01-01,24,大村,2,5,4,4056,小　西　　英　輝,20,46,6.73,0.12,,4
2024-01-01,24,大村,2,6,3,4199,北　川　　潤　二,49,62,6.73,0.14,,1
2024-01-01,24,大村,3,1,1,3988,古　川　　誠　之,37,21,6.68,0.2,1.48.7,2
2024-01-01,24,大村,3,2,5,4080,山　崎　　哲　司,27,13,6.67,0.17,1.49.4,4
2024-01-01,24,大村,3,3,3,5068,前　田　　　　滉,77,14,6.57,0.19,1.50.5,4
2024-01-01,24,大村,3,4,4,4604,岩　瀬　　裕　亮,29,15,6.57,0.17,1.51.3,4
2024-01-01,24,大村,3,5,6,3957,大　谷　　直　弘,24,37,6.69,0.23,,3
2024-01-01,24,大村,3,6,2,5252,荒　木　　颯　斗,62,50,6.61,0.26,,1
2024-01-01,24,大村,4,1,1,4276,鈴　木　　勝　博,41,76,6.68,0.09,1.48.7,4
2024-01-01,24,大村,4,2,3,4509,平　見　　真　彦,54,70,6.64,0.06,1.50.1,3
2024-01-01,24,大村,4,3,4,4786,佐　藤　　博　亮,33,67,6.68,0.07,1.52.3,2
2024-01-01,24,大村,4,4,5,4118,宇佐見　　　　淳,70,61,6.69,0.16,1.53.1,1
2024-01-01,24,大村,4,5,2,3921,川　村　　正　輝,39,51,6.73,0.06,,4
2024-01-01,24,大村,4,6,6,3831,安　藤　　裕　貴,14,56,6.77,0.18,,4
2024-01-01,24,大村,5,1,1,4215,吉　島　　祥　之,59,35,6.78,0.07,1.58.3,1
2024-01-01,24,大村,5,2,4,4626,伊　藤　　紘　章,51,63,6.77,0.1,2.01.1,3
2024-01-01,24,大村,5,3,2,5114,小　林　　孝　彰,67,28,6.77,0.18,2.04.8,4
2024-01-01,24,大村,5,4,3,4960,黒　野　　元　基,43,60,6.76,0.19,2.08.7,2
2024-01-01,24,大村,5,5,6,4231,鈴　木　　裕　隆,76,39,6.85,0.15,,4
2024-01-01,24,大村,6,1,1,4910,中　村　　泰　平,38,38,6.65,0.22,1.48.0,2
2024-01-01,24,大村,6,2,2,4663,籾　山　　佳　岳,22,30,6.77,0.23,1.50.1,3
2024-01-01,24,大村,6,3,6,3946,赤　岩　　善　生,65,22,6.77,0.22,1.51.5,1
2024-01-01,24,大村,6,4,5,3455,谷　本　　幸　司,19,66,6.77,0.28,1.53.3,4
2024-01-01,24,大村,6,5,4,5137,川　原　　　　涼,55,16,6.72,0.22,,4
2024-01-01,24,大村,6,6,3,5166,仲　道　　大　輔,68,54,6.73,0.23,,4
2024-01-01,24,大村,7,1,4,4850,野　中　　一　平,53,11,6.72,0.09,1.48.7,2
2024-01-01,24,大村,7,2,6,5127,沼　田　　大　都,57,77,6.76,0.35,1.50.3,4
2024-01-01,24,大村,7,3,1,4067,永　井　　　　源,73,53,6.77,0.24,1.51.0,1
2024-01-01,24,大村,7,4,3,4142,平　野　　和　明,63,69,6.84,0.2,1.52.3,4
2024-01-01,24,大村,7,5,2,4442,松　竹　　大　輔,58,48,6.78,0.2,,4
2024-01-01,24,大村,7,6,5,4943,八　木　　治　樹,34,24,6.78,0.27,,3
2024-01-01,24,大村,8,1,1,4786,佐　藤　　博　亮,33,67,6.74,0.19,1.56.5,1
2024-01-01,24,大村,8,2,4,3957,大　谷　　直　弘,24,37,6.74,0.18,1.58.1,4
2024-01-01,24,大村,8,3,2,4337,平　本　　真　之,28,36,6.71,0.15,2.01.1,4
2024-01-01,24,大村,8,4,5,5232,樅　山　　拓　馬,61,55,6.85,0.16,2.03.6,3
2024-01-01,24,大村,8,5,6,4369,丹　下　　　　将,21,19,6.83,0.22,,4
2024-01-01,24,大村,9,1,5,4139,丹　下　　　　健,69,17,6.75,0.14,1.48.6,3
2024-01-01,24,大村,9,2,2,4570,前　田　　聖　文,35,18,6.79,0.2,1.50.3,4
2024-01-01,24,大村,9,3,3,3621,天　野　　晶　夫,17,12,6.82,0.19,1.51.3,1
2024-01-01,24,大村,9,4,1,4118,宇佐見　　　　淳,70,61,6.77,0.16,1.52.5,4
2024-01-01,24,大村,9,5,4,4435,服　部　　達　哉,40,47,6.81,0.18,,2
2024-01-01,24,大村,9,6,6,4626,伊　藤　　紘　章,51,63,6.76,0.23,,4
2024-01-01,24,大村,10,1,5,4910,中　村　　泰　平,38,38,6.71,0.18,1.48.8,4
2024-01-01,24,大村,10,2,3,4914,吉　田　　裕　平,36,72,6.72,0.23,1.49.9,4
2024-01-01,24,大村,10,3,1,4269,杉　山　　裕　也,66,41,6.73,0.24,1.51.2,1
2024-01-01,24,大村,10,4,4,3831,安　藤　　裕　貴,14,56,6.83,0.18,1.52.1,3
2024-01-01,24,大村,10,5,2,4080,山　崎　　哲　司,27,13,6.8,0.19,,2
2024-01-01,24,大村,10,6,6,4526,池　田　　雄　祐,72,43,6.76,0.22,,4
2024-01-01,24,大村,11,1,1,4604,岩　瀬　　裕　亮,29,15,6.65,0.15,1.47.0,1
2024-01-01,24,大村,11,2,3,3946,赤　岩　　善　生,65,22,6.74,0.21,1.49.5,3
2024-01-01,24,大村,11,3,2,4129,宇　野　　博　之,46,25,6.77,0.21,1.51.1,4
2024-01-01,24,大村,11,4,6,4509,平　見　　真　彦,54,70,6.69,0.28,1.52.2,2
2024-01-01,24,大村,11,5,5,4199,北　川　　潤　二,49,62,6.8,0.2,,4
2024-01-01,24,大村,11,6,4,5114,小　林　　孝　彰,67,28,6.7,0.21,,4
2024-01-01,24,大村,12,1,1,4337,平　本　　真　之,28,36,6.7,0.01,1.47.3,1
2024-01-01,24,大村,12,2,5,5068,前　田　　　　滉,77,14,6.71,0.06,1.49.1,4
2024-01-01,24,大村,12,3,4,4276,鈴　木　　勝　博,41,76,6.76,0.01,1.51.2,4
2024-01-01,24,大村,12,4,3,4442,松　竹　　大　輔,58,48,6.81,0.01,1.52.0,4
2024-01-01,24,大村,1,1,4,4150,山　田　　雄　太,60,36,6.72,0.11,1.49.9,1
2024-01-01,24,大村,1,3,5,5316,村　松　　将　平,24,41,6.79,0.15,1.52.3,3
2024-01-01,24,大村,1,4,2,3489,大　場　　　　敏,37,48,6.82,0.16,1.54.3,4
2024-01-01,24,大村,1,5,3,4058,野　末　　智　一,32,22,6.87,0.13,,4
2024-01-01,24,大村,1,6,6,3294,野　中　　義　生,21,26,6.87,0.12,,4
2024-01-01,24,大村,2,1,3,4524,深　谷　　知　博,17,43,6.73,0.1,1.50.2,1
2024-01-01,24,大村,2,3,2,5110,杉　山　　喜　一,13,57,6.75,0.15,1.53.1,3
2024-01-01,24,大村,2,4,5,4216,星　　　　栄　爾,49,59,6.86,0.29,1.55.0,4
2024-01-01,24,大村,2,6,4,3563,堤　　　　　　昇,29,49,6.75,0.18,,4
2024-01-01,24,大村,3,2,1,4068,幸　田　　智　裕,63,65,6.9,0.15,1.51.7,2
2024-01-01,24,大村,3,3,6,3956,横　澤　　剛　治,18,69,6.82,0.14,1.52.7,3
2024-01-01,24,大村,3,4,5,5269,山　口　　晃　朋,16,12,6.82,0.16,1.53.6,4
2024-01-01,24,大村,3,5,4,4131,原　　　　豊　土,11,73,6.75,0.14,,4
2024-01-01,24,大村,3,6,3,4793,金　子　　　　萌,64,56,6.82,0.15,,4
2024-01-01,24,大村,4,1,5,3422,服　部　　幸　男,22,46,6.79,0.25,1.50.5,1
2024-01-01,24,大村,4,2,4,4076,杉　田　　篤　光,20,20,6.76,0.21,1.51.8,2
2024-01-01,24,大村,4,5,6,3718,伊　達　　正　利,36,27,6.86,0.29,,4
2024-01-01,24,大村,4,6,1,5248,本　田　　　　愛,50,52,6.8,0.07,,4
2024-01-01,24,大村,5,1,1,3744,徳　増　　秀　樹,35,60,6.73,0.16,1.50.2,1
2024-01-01,24,大村,5,2,3,3796,長　野　　道　臣,65,32,6.78,0.28,1.51.2,2
2024-01-01,24,大村,5,3,4,4273,佐　藤　　　　旭,39,35,6.78,0.25,1.52.1,3
2024-01-01,24,大村,5,5,2,3591,後　藤　　孝　義,38,74,6.77,0.26,,4
2024-01-01,24,大村,5,6,5,4989,石　原　　　　翼,66,45,6.73,0.22,,4
2024-01-01,24,大村,6,1,6,4216,星　　　　栄　爾,49,59,6.81,0.17,1.49.0,1
2024-01-01,24,大村,6,2,1,3959,坪　井　　康　晴,41,18,6.73,0.1,1.50.2,2
2024-01-01,24,大村,6,3,2,3839,川　合　　理　司,58,38,6.91,0.06,1.51.5,3
2024-01-01,24,大村,6,4,4,4033,伊　藤　　将　吉,23,75,6.66,0.08,1.53.5,4
2024-01-01,24,大村,6,5,5,3294,野　中　　義　生,21,26,6.79,0.1,,4
2024-01-01,24,大村,6,6,3,4740,齋　藤　　達　希,33,76,6.8,0.09,,4
2024-01-01,24,大村,7,1,1,4342,谷　野　　錬　志,19,54,6.72,0.15,1.48.3,1
2024-01-01,24,大村,7,2,4,5034,若　林　　義　人,40,34,6.7,0.12,1.50.4,2
2024-01-01,24,大村,7,3,5,5110,杉　山　　喜　一,13,57,6.74,0.2,1.52.0,3
2024-01-01,24,大村,7,5,6,4124,池　田　　雄　一,31,64,6.78,0.26,,4
2024-01-01,24,大村,7,6,3,5269,山　口　　晃　朋,16,12,6.77,0.17,,4
2024-01-01,24,大村,8,1,1,3811,石　田　　章　央,34,11,6.67,0.07,1.49.1,1
2024-01-01,24,大村,8,4,2,4068,幸　田　　智　裕,63,65,6.71,0.1,1.52.5,4
2024-01-01,24,大村,8,5,4,3489,大　場　　　　敏,37,48,6.76,0.09,,4
2024-01-01,24,大村,8,6,6,4417,服　部　　　　剛,30,33,6.77,0.22,,4
2024-01-01,24,大村,9,1,3,4273,佐　藤　　　　旭,39,35,6.72,0.18,1.48.5,1
2024-01-01,24,大村,9,2,4,4207,松　下　　一　也,15,13,6.73,0.15,1.49.9,2
2024-01-01,24,大村,9,3,5,4524,深　谷　　知　博,17,43,6.71,0.11,1.51.5,3
2024-01-01,24,大村,9,4,2,4076,杉　田　　篤　光,20,20,6.69,0.2,1.52.8,4
2024-01-01,24,大村,9,5,1,4131,原　　　　豊　土,11,73,6.65,0.17,,4
2024-01-01,24,大村,9,6,6,5316,村　松　　将　平,24,41,6.74,0.15,,4
2024-01-01,24,大村,10,1,1,4494,河　合　　佑　樹,59,23,6.7,0.13,1.49.1,1
2024-01-01,24,大村,10,3,4,4360,庄　司　　孝　輔,62,44,6.7,0.16,1.51.7,3
2024-01-01,24,大村,10,4,3,4033,伊　藤　　将　吉,23,75,6.7,0.12,1.53.0,4
2024-01-01,24,大村,10,5,5,4793,金　子　　　　萌,64,56,6.75,0.15,,4
2024-01-01,24,大村,10,6,6,3796,長　野　　道　臣,65,32,6.68,0.19,,4
2024-01-01,24,大村,11,1,1,3422,服　部　　幸　男,22,46,6.75,0.11,1.48.6,1
2024-01-01,24,大村,11,2,6,5034,若　林　　義　人,40,34,6.73,0.17,1.50.1,2
2024-01-01,24,大村,11,3,3,3959,坪　井　　康　晴,41,18,6.72,0.1,1.50.9,3
2024-01-01,24,大村,11,5,4,4058,野　末　　智　一,32,22,6.83,0.16,,4
2024-01-01,24,大村,11,6,5,3744,徳　増　　秀　樹,35,60,6.74,0.12,,4
2024-01-01,24,大村,12,2,2,3956,横　澤　　剛　治,18,69,6.74,0.08,1.49.1,2
2024-01-01,24,大村,12,3,6,4150,山　田　　雄　太,60,36,6.76,0.11,1.50.5,3
2024-01-01,24,大村,12,5,5,4342,谷　野　　錬　志,19,54,6.73,0.1,,4
2024-01-01,24,大村,12,6,4,3839,川　合　　理　司,58,38,6.84,0.08,,4
2024-02-01,,,1,1,1,4603,谷　川　　将　太,74,44,6.89,0.13,1.48.8,1
2024-02-01,,,1,2,4,3668,市　川　　　　猛,17,34,6.97,0.18,1.52.4,2
2024-02-01,,,1,3,6,4078,渡　辺　　史　之,28,70,6.95,0.22,1.52.8,4
2024-02-01,,,1,4,3,4896,花　本　　　　剛,20,11,7.03,0.11,1.53.3,4
2024-02-01,,,1,5,2,3467,森　　　　弘　行,68,56,6.99,0.21,,3
2024-02-01,,,1,6,5,3587,武　田　　信　一,30,17,7.01,0.2,,4
2024-02-01,,,2,1,1,4231,鈴　木　　裕　隆,27,57,6.94,0.02,1.49.4,1
2024-02-01,,,2,2,3,4702,三　浦　　敬　太,73,43,6.89,0.09,1.50.6,3
2024-02-01,,,2,3,5,3743,林　　　　美　憲,45,30,6.91,0.05,1.51.8,4
2024-02-01,,,2,4,2,5086,本　村　　　　大,75,67,6.91,0.07,1.54.2,2
2024-02-01,,,2,5,4,5177,松　井　　貫　太,13,26,6.89,0.14,,4
2024-02-01,,,2,6,6,4177,萬　　　　正　嗣,65,48,6.95,0.17,,4
2024-02-01,,,3,1,1,3406,中　里　　英　夫,60,69,6.94,0.11,1.49.5,2
2024-02-01,,,3,2,4,4302,西　野　　翔　太,63,49,6.9,0.11,1.51.1,4
2024-02-01,,,3,3,3,4651,佐　藤　　大　騎,21,68,6.92,0.11,1.53.0,3
2024-02-01,,,3,4,5,3527,中　嶋　　誠一郎,67,76,6.9,0.09,1.53.2,4
2024-02-01,,,3,5,2,3463,乙　津　　康　志,35,54,6.97,0.13,,1
2024-02-01,,,3,6,6,5284,嘉手苅　　徹　哉,56,28,6.86,0.08,,4
2024-02-01,,,4,1,1,3656,伯　母　　芳　恒,61,32,6.9,0.16,1.49.7,4
2024-02-01,,,4,2,4,4108,吉　村　　正　明,37,46,6.97,0.18,1.51.0,3
2024-02-01,,,4,3,6,4498,宮　本　　夏　樹,49,52,6.93,0.14,1.52.3,1
2024-02-01,,,4,4,3,4063,市　橋　　卓　士,15,59,6.91,0.16,1.54.0,4
2024-02-01,,,4,5,2,5100,栗　原　　一　馬,72,18,6.98,0.19,,2
2024-02-01,,,4,6,5,4138,中　井　　俊　祐,43,23,7.02,0.14,,4
2024-02-01,,,5,1,1,4039,村　上　　功　祐,71,14,6.98,0.08,1.50.2,1
